"Reserve","Sambar","Fallow","Red","Hog","All"
"Kooyoora State Park (115km2)","8 (0.07)","47 (0.41)","0 (0)","0 (0)","55 (0.48)"
"North Western Port Nature Conservation Reserve (21km2)","7 (0.34)","3 (0.14)","0 (0)","0 (0)","10 (0.48)"
"Dalyenong Nature Conservation Reserve (27km2)","2 (0.08)","10 (0.38)","0 (0)","0 (0)","12 (0.45)"
"Discovery Bay Coastal Park (106km2)","0 (0)","42 (0.39)","6 (0.06)","0 (0)","48 (0.45)"
"Waanyarra Nature Conservation Reserve (29km2)","3 (0.1)","10 (0.35)","0 (0)","0 (0)","13 (0.45)"
"Greater Bendigo National Park (176km2)","14 (0.08)","61 (0.35)","0 (0)","0 (0)","75 (0.43)"
"Landsborough Nature Conservation Reserve (34km2)","4 (0.12)","10 (0.3)","0 (0)","0 (0)","14 (0.42)"
"Tooloy-Lake Mundi Wildlife Reserve (hunting) (41km2)","0 (0)","17 (0.41)","0 (0)","0 (0)","17 (0.41)"
"Kara Kara National Park (140km2)","7 (0.05)","46 (0.33)","0 (0)","0 (0)","53 (0.38)"
"Koorangie Wildlife Reserve (hunting) (32km2)","2 (0.06)","9 (0.28)","1 (0.03)","0 (0)","12 (0.37)"
"Wilsons Promontory Marine National Park (156km2)","0 (0)","1 (0.01)","0 (0)","55 (0.35)","56 (0.36)"
"Heathcote-Graytown National Park (127km2)","8 (0.06)","35 (0.28)","0 (0)","0 (0)","43 (0.34)"
"Lake Corangamite Lake Reserve (252km2)","1 (0)","84 (0.33)","1 (0)","0 (0)","86 (0.34)"
"Hattah - Kulkyne National Park (501km2)","42 (0.08)","109 (0.22)","9 (0.02)","0 (0)","160 (0.32)"
"Lake Connewarre Wildlife Reserve (hunting) (37km2)","1 (0.03)","10 (0.27)","1 (0.03)","0 (0)","12 (0.32)"
"Lake Burrumbeet Lake Reserve (26km2)","0 (0)","8 (0.31)","0 (0)","0 (0)","8 (0.31)"
"Whroo Nature Conservation Reserve (22km2)","2 (0.09)","5 (0.22)","0 (0)","0 (0)","7 (0.31)"
"Lake Colac Lake Reserve (29km2)","0 (0)","7 (0.24)","0 (0)","0 (0)","7 (0.24)"
"Birdcage Flora and Fauna Reserve (26km2)","1 (0.04)","5 (0.19)","0 (0)","0 (0)","6 (0.23)"
"Lake Albacutya Park (83km2)","2 (0.02)","15 (0.18)","1 (0.01)","0 (0)","18 (0.22)"
"Corner Inlet Marine & Coastal Park (283km2)","8 (0.03)","6 (0.02)","0 (0)","42 (0.15)","56 (0.2)"
"Twelve Apostles Marine National Park (75km2)","1 (0.01)","8 (0.11)","5 (0.07)","0 (0)","14 (0.19)"
"Point Hicks Marine National Park (38km2)","7 (0.18)","0 (0)","0 (0)","0 (0)","7 (0.18)"
"French Island Marine National Park (30km2)","3 (0.1)","2 (0.07)","0 (0)","0 (0)","5 (0.17)"
"Lake Hindmarsh Lake Reserve (153km2)","2 (0.01)","13 (0.08)","7 (0.05)","0 (0)","22 (0.14)"
"Murray - Sunset National Park (6668km2)","217 (0.03)","414 (0.06)","122 (0.02)","0 (0)","753 (0.11)"
"Cape Howe Marine National Park (41km2)","4 (0.1)","0 (0)","0 (0)","0 (0)","4 (0.1)"
"Red Bluff Flora and Fauna Reserve (38km2)","0 (0)","4 (0.1)","0 (0)","0 (0)","4 (0.1)"
"Lake Gnarpurt Lake Reserve (25km2)","0 (0)","2 (0.08)","0 (0)","0 (0)","2 (0.08)"
"Little Desert National Park (1316km2)","5 (0)","88 (0.07)","11 (0.01)","0 (0)","104 (0.08)"
"Wandown Flora and Fauna Reserve (25km2)","1 (0.04)","1 (0.04)","0 (0)","0 (0)","2 (0.08)"
"Point Addis Marine National Park (44km2)","0 (0)","3 (0.07)","0 (0)","0 (0)","3 (0.07)"
"Port Phillip Heads Marine National Park (28km2)","1 (0.04)","1 (0.04)","0 (0)","0 (0)","2 (0.07)"
"Bronzewing Flora and Fauna Reserve (125km2)","1 (0.01)","3 (0.02)","2 (0.02)","0 (0)","6 (0.05)"
"Bunurong Marine National Park (20km2)","0 (0)","0 (0)","0 (0)","1 (0.05)","1 (0.05)"
"Lake Tyrrell Wildlife Reserve (hunting) (128km2)","1 (0.01)","2 (0.02)","2 (0.02)","0 (0)","5 (0.04)"
"Lake Wahpool Lake Reserve (26km2)","0 (0)","1 (0.04)","0 (0)","0 (0)","1 (0.04)"
"Paradise Flora and Fauna Reserve (24km2)","0 (0)","1 (0.04)","0 (0)","0 (0)","1 (0.04)"
"Annuello Flora and Fauna Reserve (352km2)","4 (0.01)","6 (0.02)","2 (0.01)","0 (0)","12 (0.03)"
"Big Desert Wilderness Park (1417km2)","1 (0)","26 (0.02)","1 (0)","0 (0)","28 (0.02)"
"Wathe Flora and Fauna Reserve (60km2)","0 (0)","1 (0.02)","0 (0)","0 (0)","1 (0.02)"
"Wyperfeld National Park (3600km2)","5 (0)","48 (0.01)","4 (0)","0 (0)","57 (0.02)"
"Discovery Bay Marine National Park (28km2)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"Lake Timboram Flora and Fauna Reserve (25km2)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"Ninety Mile Beach Marine National Park (27km2)","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
